公司名稱,統編
神達控股股份有限公司,53677966
上緯國際投資控股股份有限公司,43238308
日月光投資控股股份有限公司,29187308
永崴投資控股股份有限公司,24813370
富采控股股份有限公司,83202930
定穎投資控股股份有限公司,90302792
中化控股股份有限公司,00227087
聯嘉光電投資控股股份有限公司,60654582
佳醫健康事業股份有限公司,22854522
雃博股份有限公司,23632773
懷特生技新藥股份有限公司,16766281
旭富製藥科技股份有限公司,22662545
亞諾法生技股份有限公司,12974421
麗豐股份有限公司,
國光生物科技股份有限公司,33259508
全宇生技控股有限公司,54952764
訊映光電股份有限公司,27453928
承業生醫投資控股股份有限公司,24483414
佐登妮絲集團股份有限公司,83634971
炎洲股份有限公司,35894259
如興股份有限公司,49744324
利勤實業股份有限公司,16229261
廣越企業股份有限公司,89620361
冠星集團控股有限公司,54975464
宜新實業股份有限公司,54332940
振大環球股份有限公司,86010365
東台精機股份有限公司,88120872
瑞智精密股份有限公司,23603284
拓凱實業股份有限公司,52590175
全球傳動科技股份有限公司,29168533
銘鈺精密工業股份有限公司,12738623
智伸科技股份有限公司,22363342
力達控股有限公司,51016510
台灣氣立股份有限公司,22301178
永新控股股份有限公司,
強信機械科技股份有限公司,24788669
穎漢科技股份有限公司,28919500
元翎精密工業股份有限公司,23019109
時碩工業股份有限公司,24262159
六方科技股份有限公司,90838535
鈞興機電國際股份有限公司,
駐龍精密機械股份有限公司,23830154
大銀微系統股份有限公司,97413843
World Known MFG(Cayman)Limited,
台灣精銳科技股份有限公司,70647919
達明機器人股份有限公司,42643271
玖鼎電力資訊股份有限公司,27736932
德淵企業股份有限公司,04465521
國精化學股份有限公司,75975242
泰博科技股份有限公司,16584326
華廣生技股份有限公司,80310225
康普材料科技股份有限公司,86757124
台耀化學股份有限公司,96922622
三福化工股份有限公司,80170651
濟南大自然新材料股份有限公司,54397154
雙鍵化工股份有限公司,84754072
南寶樹脂化學工廠股份有限公司,74229304
上品綜合工業股份有限公司,36075449
望隼科技股份有限公司,53764125
日成控股股份有限公司,
遠傳電信股份有限公司,97179430
正文科技股份有限公司,22960571
聯德控股股份有限公司,54970427
致伸科技股份有限公司,28006928
事欣科技股份有限公司,13000192
新唐科技股份有限公司,28112646
泰鼎國際股份有限公司,
燦星網通股份有限公司,28986660
太極能源科技股份有限公司,28675574
茂林光電科技(開曼)股份有限公司,
和碩聯合科技股份有限公司,28689155
嘉彰股份有限公司,22164527
開曼康而富控股股份有限公司,
有成精密股份有限公司,80581850
凌通科技股份有限公司,80741441
光鋐科技股份有限公司,28334226
臻鼎科技控股股份有限公司,
誠美材料科技股份有限公司,27790294
天鈺科技股份有限公司,84149499
十銓科技股份有限公司,97418375
立積電子股份有限公司,80661880
佳凌科技股份有限公司,70848492
眾達科技股份有限公司,56616838
李長榮科技股份有限公司,97173920
傳奇網路遊戲股份有限公司,12975809
鑫禾科技股份有限公司,13012009
三星科技股份有限公司,68040606
訊連科技股份有限公司,23829868
科嘉(開曼)股份有限公司,
全訊科技股份有限公司,16130296
東科控股股份有限公司,90092965
達興材料股份有限公司,28357108
乙盛精密工業股份有限公司,28977162
弘凱光電股份有限公司,27877550
虹堡科技股份有限公司,84188062
祥碩科技股份有限公司,80688184
禾聯碩股份有限公司,80333058
經寶精密控股股份有限公司,53675030
界霖科技股份有限公司,12636560
開曼商豐祥控股股份有限公司,
